segment,origin,dest_country,dest_type,eur
comparison,LU,DE,commercial_zone,1.86206e+07
comparison,LU,ES,city_centre,0
comparison,LU,ES,commercial_zone,0
comparison,LU,FR,city_centre,1.57093e+08
comparison,LU,FR,commercial_zone,2.53275e+08
comparison,LU,IT,city_centre,0
comparison,LU,IT,commercial_zone,0
comparison,LU,LU,city_centre,1.33387e+09
comparison,LU,LU,commercial_zone,5.57121e+08
comparison,LU,MC,city_centre,0
comparison,MC,AD,city_centre,0
comparison,MC,BE,city_centre,0
comparison,MC,BE,commercial_zone,0
comparison,MC,CH,city_centre,0
comparison,MC,CH,commercial_zone,0
comparison,MC,DE,city_centre,0
comparison,MC,DE,commercial_zone,0
comparison,MC,ES,city_centre,0
comparison,MC,ES,commercial_zone,0
comparison,MC,FR,city_centre,9.7203e+06
comparison,MC,FR,commercial_zone,2.4007e+06
comparison,MC,IT,city_centre,1.92686e+06
comparison,MC,IT,commercial_zone,0
comparison,MC,LU,city_centre,0
comparison,MC,LU,commercial_zone,0
comparison,MC,MC,city_centre,1.41989e+06
