code,LAU_NAME,dist_km,neighbour,band,pop,fuel,large_food,non_food,small_food,est24,emp24,emp12,est12,emp24_big,tobacconists
55477,Savonnières-en-Perthois,102.90416665601579,Belgium,,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55479,Seigneulles,73.67368035214915,Belgium,50–75,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55481,Senon,25.091286938747754,Belgium,20–30,300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55482,Senoncourt-les-Maujouy,49.483005055691756,Belgium,30–50,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55484,Septsarges,31.572684825911413,Belgium,30–50,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55485,Sepvigny,100.86836479259101,Luxembourg,,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55487,Seuzey,56.65503848790151,Belgium,50–75,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55488,Silmont,85.97709015623825,Belgium,75–100,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55489,Sivry-la-Perche,42.79867824672121,Belgium,30–50,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55490,Sivry-sur-Meuse,23.43559262192296,Belgium,20–30,341.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54321,Longlaville,0.8558855349086212,Luxembourg,0–10,2377.0,0.0,0.0,4.0,4.0,3.0,15.0,9.0,5.0,0.0,0.0
54322,Longuyon,4.662385056459826,Belgium,0–10,5134.0,1.0,4.0,19.0,10.0,16.0,151.0,155.0,32.0,89.0,1.0
54323,Longwy,2.488499237429365,Belgium,0–10,15679.0,1.0,7.0,40.0,33.0,48.0,326.0,377.0,64.0,174.0,3.0
54324,Lorey,80.58711211165209,Germany,75–100,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54325,Loromontzey,85.5486182782957,Germany,75–100,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54326,Lubey,24.564488079433193,Luxembourg,20–30,215.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
54327,Lucey,81.79754957615464,Luxembourg,75–100,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54328,Ludres,73.26139851287128,Germany,50–75,5843.0,1.0,2.0,13.0,10.0,16.0,189.0,216.0,19.0,58.0,1.0
54329,Lunéville,65.80675803001647,Germany,50–75,18262.0,3.0,6.0,69.0,40.0,93.0,638.0,585.0,92.0,213.0,10.0
54330,Lupcourt,73.05911044798343,Germany,50–75,428.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
54331,Magnières,81.17459795780752,Germany,75–100,290.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
54332,Maidières,58.98154688271329,Germany,50–75,1492.0,0.0,0.0,2.0,0.0,2.0,14.0,3.0,1.0,0.0,1.0
54333,Mailly-sur-Seille,45.01671934238299,Germany,30–50,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54334,Mairy-Mainville,18.949002572201795,Luxembourg,10–20,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54335,Maixe,61.57113791264973,Germany,50–75,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54336,Maizières,80.4066129974002,Germany,75–100,932.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54337,Malavillers,13.235757323357808,Luxembourg,10–20,122.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
